Handle,title,Image Src,Image Position,body,Published,Option1 Name,Option1 Value,Variant Inventory Qty
dragon-ball-songoku-hooded-blanket-nyx070208,Dragon Ball Songoku Hooded Blanket NYX070208 ,//cdn.shopify.com/s/files/1/2558/1496/products/Hooded_Blanket_sau_800x.jpg?v=1517980117,1,,TRUE,Size,S,50
dragon-ball-songoku-hooded-blanket-nyx070208,,//cdn.shopify.com/s/files/1/2558/1496/products/B99D84B83B8B4237CC598C4469E30A02_800x.jpg?v=1517980117,2,,TRUE,,M,50
dogs,Dogs ,//cdn.shopify.com/s/files/1/2558/1496/products/Dogs_-_Whippet_Hooded_Blanket_-_GAEA2901010_800x.jpg?v=1517211485,1,,TRUE,Size,S,50
dogs,,//cdn.shopify.com/s/files/1/2558/1496/products/C596B30258629CB43E972F084D714BBA_800x.jpg?v=1517211485,2,,TRUE,,M,50
dogs,,//cdn.shopify.com/s/files/1/2558/1496/products/1BBAF8B169045E519CC9D5C4CC5B5B2F_800x.jpg?v=1517211485,3,,TRUE,,L,50
dogs,Dogs ,//cdn.shopify.com/s/files/1/2558/1496/products/Dogs_-_Standard_Schnauzer_Hooded_Blanket_-_GAEA290109_800x.jpg?v=1517214445,1,,TRUE,Size,S,50
dogs,,//cdn.shopify.com/s/files/1/2558/1496/products/69F083EF9D806E398C09D0164723D2BC_800x.jpg?v=1517214445,2,,TRUE,,M,50
dogs,,//cdn.shopify.com/s/files/1/2558/1496/products/DAD63BB0291130396F873C45154BFAC7_800x.jpg?v=1517214445,3,,TRUE,,L,50
dogs,Dogs ,//cdn.shopify.com/s/files/1/2558/1496/products/Dogs_-_Old_English_Sheepdog_Hooded_Blanket_-_GAEA290107_800x.jpg?v=1517214746,1,,TRUE,Size,S,50
dogs,,//cdn.shopify.com/s/files/1/2558/1496/products/5E7B3C90618372F1622DE1675635CB2D_800x.jpg?v=1517214746,2,,TRUE,,M,50
dogs,,//cdn.shopify.com/s/files/1/2558/1496/products/A2258BDA414D2CB65348DF66E04DDBC8_800x.jpg?v=1517214746,3,,TRUE,,L,50
eros,EROS ,//cdn.shopify.com/s/files/1/2558/1496/products/front_1_2f77e9cf-4fcd-4fab-a8f7-a758b114afa0_800x.jpg?v=1522399627,1,,TRUE,Size,S,50
eros,,//cdn.shopify.com/s/files/1/2558/1496/products/front_2_bf30bd3a-e755-4854-8301-2a7a11eeeb22_800x.jpg?v=1522399629,2,,TRUE,,M,50
eros,,//cdn.shopify.com/s/files/1/2558/1496/products/front_3_b6876839-1d5e-4602-ad36-c202d404f3c5_800x.jpg?v=1522399632,3,,TRUE,,L,50
eros,,//cdn.shopify.com/s/files/1/2558/1496/products/front_4_a27c95f3-ebdf-481d-8971-d728e19d2f94_800x.jpg?v=1522399633,4,,TRUE,,XL,50
eros,,//cdn.shopify.com/s/files/1/2558/1496/products/front_5_46c88ce4-4738-4d08-af17-1e235481fd65_800x.jpg?v=1522399635,5,,TRUE,,XXL,50
dogs,Dogs ,//cdn.shopify.com/s/files/1/2558/1496/products/Dogs_-_Rhodesian_Ridgeback_Hooded_Blanket_-_GAEA290108_800x.jpg?v=1517211346,1,,TRUE,Size,S,50
dogs,,//cdn.shopify.com/s/files/1/2558/1496/products/A56867719BCBB940D44716C60BBA4797_800x.jpg?v=1517211346,2,,TRUE,,M,50
dogs,,//cdn.shopify.com/s/files/1/2558/1496/products/A6D086DE066BD81118C62903382513F6_800x.jpg?v=1517211346,3,,TRUE,,L,50
magic-cat-hooded-blanket,Magic Cat Hooded Blanket ,//cdn.shopify.com/s/files/1/2558/1496/products/B4821A015E868DE3A2ACC54ADA231EE9_800x.png?v=1533268898,1,,TRUE,Size,S,50
magic-cat-hooded-blanket,,//cdn.shopify.com/s/files/1/2558/1496/products/F117B9C39F4434F9BDE82CA82FEF4B59_800x.png?v=1533268898,2,,TRUE,,M,50
